Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Teaching, Technology, Entrepreneurship,""Gathering Informing, Communication Skills, Editing, Presentation Skills, Observation Skills, Reading, Subject Knowledge"",80.0,Tidak,Tidak,Tidak,HR,Masters in Commerce,BMS,Sales & Marketing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Web Designing;Content Writing;Data analytics;Data scientist,Business Knowledge;Leadership;Editing;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Python;Java,83.0,Ya,Data science,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills;People management,72.2,Tidak,Tidak,Tidak,Not Applicable,Tidak,B.Com,Accounts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Sales/Marketing;Technology;Trading;Game industry,Accounting Skills;Business Knowledge;Finance related skills;Risk management skills;Wealth Management,61.67,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Analytics,Python,85.5,Tidak,Python,Ya,Software developer,Tidak,B.Tech,CEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice;Understand human behaviour;Gardening;Social causes;All fields related to Data science.;Information Technology,Active Listening;Gathering Information;Business Knowledge;Good communication skills,70.0,Ya,ADCA,Ya,Researcher,Tidak,B.Sc,Computers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Govt. Job;Game industry,Analytical Skills;Communication skills,52.2,Ya,CCC,Tidak,Not Applicable,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Analytics,Tidak,66.5,Tidak,Tidak,Ya,Software Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics,People management;Leadership,78.0,Ya,Data science ,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Sales/Marketing;Understand human behaviour;Content Writing,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Social Media Marketing;Presentation Skills;Content creation,82.65,Ya,Tidak,Ya,Content writer and creative strategist,Tidak,BA,Advertising;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software Job,""JS, PHP,CSS,HTML, Android"",78.85,Ya,""JS, PHP,CSS,HTML, Android"",Ya,IT Engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Understand human behaviour;Web Designing,Python;SQL;Java;Cloud Computing,78.67,Ya,Software testing,Ya,Software testing,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web development,Programming Language skills;SQL;Java;Cloud Computing,63.46,Tidak,Tidak,Ya,Programmer analyst,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, News Coverage, Research, Sales/Marketing, Trading, Entrepreneurship,""Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Cost Accounting, Excel"",80.75,Ya,Tally,Tidak,Student (Unemployed),Masters in Accounting,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software Job,""Full stack, SQL"",78.85,Ya,""Full stack, SQL"",Ya,QA Analyst,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Social Justice;Teaching;Trading;Content Writing,Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Java,62.35,Ya,C++,Ya,Entry Level Software Engineer,Master's In computer Application (MCA),Sarjana Teknik Perangkat Lunak,Teknik Perangkat Lunak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Research;Digital marketing;Home interior design;Data scientist;Web development;Market reserach;Social media marketing,Programming Language skills;C++,73.32,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Python, Java, SQL"",72.96,Tidak,Tidak,Ya,PAT,Masters in Computer Science,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Govt. Job;Data scientist,Problem Solving skills;C++;SQL;Java,70.0,Ya,Data scientist,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,Derivatives,65.55,Tidak,Tidak,Ya,Computer Software Engineer,Masters in Science,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supply Chain Analysis;SAP Consultant in MM,People management;SAP,60.75,Ya,SAP MM global certification,Ya,SAP consultant,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Analytics,Tidak,74.1,Tidak,Tidak,Ya,FSC,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice;Technology;Govt. Job;Construction;Construction Manegement;Urban Planning ,Critical Thinking;People management;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Interpersonal skills;Hospitality;Good communication skills,76.11,Tidak,Tidak,Tidak,Not Applicable,M. Tech (Town & Country Planning),Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Understand human behaviour;Social causes;Customer care,Active Listening;Communication skills;Product knowledge;Problem Solving skills;Hospitality,51.0,Ya,Diploma in computer application,Ya,Customer care,Masters in sociology,Sarjana Ilmu Sosial,Ilmu Sosial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing;All fields related to Data science.;Machine Learning;Sports Industry;Excel,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Social Media Marketing;Interpersonal skills;C++;R;Python;"SQL,60.0,Ya,""C,C++,Java,Digital Marketing,Adv.Excel"",Tidak,Not Applicable,Master of Business Administration (MBA),MBA,Marketing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""SQL, Communication Skills"",72.01,Ya,LinkedIN Certification,Ya,Computer Software Engineer,Masters in Data Analytics,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Technology;Understand human behaviour;Supply Chain Analysis;Data analytics;Govt. Job;Digital marketing;Data scientist;Social media marketing;All fields related to Data science.;Industires;Design;Product Life cycle Management,Active Listening;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Presentation Skills;Python;Hospitality,71.345,Ya,PLC programming,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project Finance;Financial Modeling;"Business Strategy"",83.98,Ya,Financial Modelling and Valuation"; CFA Program;Microeconomic Diagnostics,Ya,Financial Analyst,Finance,BBA,Financial Analyst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Social Justice, Understand Human Behaviour, Understand Human Body,""Accounting Skills, Active Listening, Artistic skills, People Management, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Logical Skills, Interpersonal Skills, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills"",85.5,Tidak,Tidak,Ya,Psychologist,Masters in Psychology,Sarjana Psikologi,Psikologi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, News Coverage, Research, Sales/Marketing, Social Justice, Take risk for Profits, Teaching, Technology, Trading, Entrepreneurship, Understand Human Behaviour, Understand Human Body,""Accounting Skills, Active Listening, ML, Critical Thinking, Artistic skills, Java, Communication Skills, News Gathering, Product Knowledge"",60.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Business Administration,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Web Designing;Data analytics;Govt. Job;Game industry;Digital marketing;Data scientist;Web development;Social media marketing;Information Technology,Accounting Skills;Hardware skills;Programming Language skills;Gathering Information;People management;Risk management skills;Writing skills;C++;Python;SQL;Java;Hospitality,60.0,Ya,BCA,Tidak,Not Applicable,Masters in c++,Sarjana Administrasi Bisnis,Administrasi Bisnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data scientist;Web development;All fields related to Data science.;Information Technology,Programming Language skills;Python;SQL,68.2,Ya,Python,Tidak,Not Applicable,Tidak,BE,Entc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Technology,""Gathering Informing, Business Knowledge, SQL, Leadership, Writing, Designing Skills"",74.4,Ya,Java,Ya,Business Analyst,Masters in Business Analytics,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,People management,74.1,Tidak,Tidak,Ya,Lecturer,Master in Tamil,BA,Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Govt. Job,Sales,60.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,B.Sc,Programs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,Teaching ,86.0,Tidak,Tidak,Ya,Teacher,Masters in Science,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Data analytics;Data scientist,Programming Language skills;Leadership;Problem Solving skills;SQL;PHP,57.0,Tidak,Tidak,Tidak,Not Applicable,masters in computer science,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Social Justice;Teaching;Trading;Understand human body;"Content Writing,""Hardware skills";Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Sales;Social Media Marketing;Linux;Proeficiency in Software like STAAD PRO, ETABS;"MATLAB"",61.0,Ya,Software Testing,Tidak,Not Applicable,Master in Techonology,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Threat & Vulnerability Management;Endpoint Security;Vulnerability Assessment;ISO 27001;Information Security;proofpoint;Palo Alto Networks;Symantec Endpoint Protection;SophosS;Vulnerability Management;Security Information and Event Management (SIEM);Threat Analysis;Threat Assessment;Splunk;ISO 27001 Lead Auditor;Pki;Cyber Security Risk;Cybersecurity Incident Response;Vulnerability Scanning;"Security"",77.33,Ya,""Applied Cybersecurity Essentials Hybrid Intensive";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISO 27001 Lead Auditor Information Security Management System ;Splunk Fundamentals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accredited Configuration Engineer (ACE);"Ethical Hacking"",Ya,Cyber Security Analyst,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Social Justice, Take risk for Profits, Technology, Entrepreneurship, Understand Human Behaviour,""Critical Thinking, Business Knowledge, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, News Gathering, Product Knowledge, Market Study, Team work, Excel"",79.8,Ya,INTERNATINALLY ACCREDITED DIPLOMA IN ADVACNED NUTRITION AND FITNESS ,Ya,FITNESS CONSULTANT EXPERT ,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Trading;Understand human behaviour;Content Writing;Data analytics;Govt. Job;Digital marketing;Home interior design;Social media marketing;Gardening;Infrastructure;Information Technology,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Interpersonal skills,50.0,Ya,Digital marketing,Tidak,Not Applicable,marketing,B.Com,Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Teaching;Data analytics;Govt. Job;Data scientist;Excel,Negotiation skills;Leadership;Editing;Python;Teaching;Programming Language C,75.05,Ya,Copa iti,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Social Justice;Understand human behaviour;Content Writing;Digital marketing;Social media marketing,Active Listening;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation;Client management,68.0,Ya,Digital Marketing,Ya,Copywriter ,Journalism & Mass comm,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Business Knowledge, Communication Skills"",76.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Computer Applications,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Programming Language skills;Communication skills;Problem Solving skills;Python;MATLAB,61.75,Tidak,Tidak,Ya,Assistant system engineer trainee,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teaching, Technology,""Logical Skills, Presentation Skills, Observation Skills, Subject Knowledge"",76.95,Tidak,Tidak,Ya,Medical Practitioner,Masters in Pharmacy,G. N. M Nurshing,Hospitality";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research,Subject Knowledge,96.0,Ya,Molecular biology techniques,Tidak,Student (Unemployed),Masters in Science,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""Active Listening, AI, Critical Thinking, Analytic Thinking, Artistic skills, Java, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Mass Communication, Writing, Tableau, Reading, Designing Skills"",70.49,Tidak,Tidak,Ya,Software engineer ,Tidak,B.Tech,Information TechNAlogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis, Entrepreneurship,Accounting Skills,78.565,Tidak,Tidak,Tidak,Student (Unemployed),Charatard account,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Python, Critical Thinking, Programming, Editing, Creativity Skills, Market Study, Team work, Excel, C++, Linux, Problem Solving skills"",67.83,Ya,PDCAD/CAM,Tidak,Student (Unemployed),Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Govt. Job,Accounting Skills,65.0,Tidak,Tidak,Tidak,Accountant,Master of computer application,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,Understand human body,BioTechnology,""Real-Time Polymerase Chain Reaction (qPCR)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Environmental Biotechnology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Molecular Biology"",85.5,Ya,Biological data Analyzers,Ya,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Biocurator"",Tidak,B.Tech,BiotechNAlogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web development;Information Technology,C++;R;Linux;Python;Artificial Intelligence;SQL;Java,75.05,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data scientist,Programming Language skills;Gathering Information;Analytical Skills;Python;Artificial Intelligence,80.5,Ya,Java,Tidak,nothing,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology,Trading,""Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading"",74.1,Tidak,Tidak,Ya,SQL Developer,Masters in Business Analytics,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Unknown,75.05,Ya,Data Science,Ya,Data Analyst,masters in Data Science,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Programming Language skills;Critical Thinking;Gathering Information;People management;Communication skills;Leadership;SQL;"Java,70.3,Ya,""oracle associate developer, Microsoft azure fundamentals, microsoft azure data adsociate"",Ya,Software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Technology;Content Writing;Govt. Job;Industires;Sports Industry;Oil and Gas;Excel,Active Listening;Gathering Information;Communication skills;Product knowledge;Writing skills;Presentation Skills;Good communication skills,83.41,Tidak,Tidak,Ya,TESTING ENGINEER,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics;Game industry;Data scientist;Information Technology,Programming Language skills;Analytical Skills;Communication skills;Leadership;Machine Learning skills;Python,61.75,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Farmasi,Farmasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Machine Learning skills;Python;Artificial Intelligence;"SQL,76.0,Ya,""IBM Datascience, AI, Python, Tableu, MySQL "",Tidak,Pharma Benefit Analyst ,Tidak,Sarjana Teknik Pertambangan,Teknik Pertambangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL;MATLAB,83.0,Ya,Certificate Course on Data Science,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Electronics and communication Engineering,""Python, SQL"",74.1,Tidak,Tidak,Tidak,Student (Unemployed),Tidak,B.Tech,B.tech";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Trading,""Wealth Management, Problem Solving skills"",65.74,Tidak,Tidak,Tidak,Student (Unemployed),Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Teaching;Technology;Trading;Data analytics;Home interior design;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );R;Python;Artificial Intelligence;SQL;Good communication skills,66.025,Ya,Google data analytics certificate,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology,Data analytics,Machine Learning,Cloud computing,Cyber Security,Web Application Security;Vulnerability Assessment;OWASP;Penetration Testing;Shell Scripting;Python (Programming Language);Ethical Hacking;Web Application Security Assessment;Application Security,79.8,Ya,Certified Ethical Hacker (CEH);CyberArk Privileged Access Security;Security Certified Network Specialist (SCNS),Ya,Cyber Security Engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Industires;"Design,""Proeficiency in Software like STAAD PRO, ETABS"",79.8,Ya,Autocad-Electrical,Ya,Maintenance Engineer-Electrical,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Game industry;All fields related to Data science.,Programming Language skills;Machine Learning skills;Python;SQL,65.0,Ya,iOS course,Tidak,Not Applicable,MCA,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing, Take risk for Profits,""Active Listening, Artistic skills, Communication Skills, Work under Pressure, Editing, Product Knowledge, Creativity Skills, Market Study, Team work, Excel, Sales"",67.0,Ya,Chse ,Ya,Medical Practitioner,Masters in Business Analytics,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data analytics,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Wealth Management;Presentation Skills;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing,83.6,Ya,Python Programming,Ya,Associate Data Scientist,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice;Social causes,Civil & Criminal Law,71.25,Ya,criminology,Ya,Law Intern,Tidak,Sarjana Hukum,Hukum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics;Data scientist;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Artificial Intelligence;SQL,71.25,Ya,Python Data Structures,Ya,Data Analyst ,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
